time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
3.733503124967710e-002	3.951969e+000	-1.485576e+000	7.427878e-001	1.200000e+001	8.048031e+000
3.743268749967710e-002	3.945091e+000	-1.443801e+000	7.219006e-001	1.200000e+001	8.054909e+000
3.753034374967710e-002	3.937991e+000	-1.400668e+000	7.003341e-001	1.200000e+001	8.062009e+000
3.762799999967710e-002	3.930674e+000	-1.356217e+000	6.781083e-001	1.200000e+001	8.069326e+000
3.772565624967710e-002	3.923146e+000	-1.310489e+000	6.552445e-001	1.200000e+001	8.076854e+000
3.792096874967710e-002	3.907489e+000	-1.215377e+000	6.076886e-001	1.200000e+001	8.092511e+000
3.811628124967711e-002	3.891079e+000	-1.115691e+000	5.578456e-001	1.200000e+001	8.108921e+000
3.840924999967711e-002	3.865188e+000	-9.584103e-001	4.792051e-001	1.200000e+001	8.134812e+000
3.856270982110568e-002	3.850992e+000	-8.721751e-001	4.360876e-001	1.200000e+001	8.149008e+000
3.871616964253426e-002	3.836549e+000	-7.844333e-001	3.922166e-001	1.200000e+001	8.163451e+000
3.886962946396283e-002	3.821858e+000	-6.951847e-001	3.475924e-001	1.200000e+001	8.178142e+000
3.902308928539141e-002	3.806919e+000	-6.044295e-001	3.022147e-001	1.200000e+001	8.193081e+000
3.917654910681998e-002	3.791732e+000	-5.121676e-001	2.560838e-001	1.200000e+001	8.208268e+000
3.933000892824855e-002	3.776297e+000	-4.183990e-001	2.091995e-001	1.200000e+001	8.223703e+000
3.948346874967713e-002	3.760614e+000	-3.231237e-001	1.615618e-001	1.200000e+001	8.239386e+000
3.958112499967713e-002	3.750607e+000	-2.624280e-001	1.312140e-001	1.199999e+001	8.249385e+000
3.967878124967713e-002	3.740017e+000	-2.014853e-001	1.007427e-001	1.199971e+001	8.259695e+000
3.977643749967713e-002	3.710688e+000	-1.403530e-001	7.017650e-002	1.199007e+001	8.279380e+000
3.987409374967713e-002	3.194438e+000	-7.908861e-002	3.954430e-002	1.173665e+001	8.542212e+000
3.997174999967713e-002	9.974432e-001	-1.774977e-002	8.874883e-003	1.064012e+001	9.642674e+000
4.006940624967714e-002	-2.077901e+000	4.360578e-002	-2.180289e-002	9.098586e+000	1.117649e+001
4.016706249967714e-002	-3.596009e+000	1.049203e-001	-5.246014e-002	8.330943e+000	1.192695e+001
4.026471874967714e-002	-3.757600e+000	1.661360e-001	-8.306802e-002	8.240149e+000	1.199775e+001
4.036237499967714e-002	-3.782085e+000	2.271954e-001	-1.135977e-001	8.217850e+000	1.199994e+001
4.046003124967714e-002	-3.802249e+000	2.880410e-001	-1.440205e-001	8.197749e+000	1.200000e+001
